epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8646,0.76411,3.94893,0.95901,0.00657,0.43521,0.13119,0.11239,0.45692,3.80212,0.75127,0.00017,0.00017,0.00017
2,64.4532,0.61131,2.35401,0.91322,0.98646,0.05556,0.12734,0.11384,0.54089,3.27636,0.78056,0.000345669,0.000345669,0.000345669
3,95.7266,0.5686,1.59632,0.92511,0.9185,0.11937,0.17267,0.14738,0.606,3.02551,0.86589,0.000516883,0.000516883,0.000516883
4,134.062,0.56049,1.49812,0.92899,0.88155,0.25016,0.35048,0.28675,0.68162,2.26543,0.88112,0.000683641,0.000683641,0.000683641
5,162.304,0.5652,1.36997,0.90289,0.77554,0.32886,0.52138,0.41338,0.67186,1.90971,0.8457,0.000845945,0.000845945,0.000845945
6,192.551,0.56146,1.20984,0.91598,0.71617,0.50498,0.68639,0.52266,0.70156,1.79298,0.94153,0.000938125,0.000938125,0.000938125
7,222.358,0.56744,1.13544,0.88619,0.7896,0.68283,0.83201,0.63344,0.54854,1.28965,0.82957,0.00092575,0.00092575,0.00092575
8,250.358,0.5346,1.03286,0.89748,0.8482,0.83675,0.91085,0.72708,0.50193,0.90285,0.78817,0.000913375,0.000913375,0.000913375
9,278.805,0.53899,1.0128,0.89157,0.86693,0.87815,0.90578,0.71168,0.48793,0.78333,0.79017,0.000901,0.000901,0.000901
10,306.751,0.50244,0.97301,0.89598,0.80495,0.90261,0.92192,0.7249,0.46816,0.76172,0.79093,0.000888625,0.000888625,0.000888625
11,336.195,0.48041,0.88093,0.89621,0.88147,0.90685,0.93731,0.75035,0.44274,0.72035,0.80469,0.00087625,0.00087625,0.00087625
12,397.613,0.47768,0.85801,0.88484,0.93424,0.8867,0.93274,0.76784,0.42853,0.64061,0.79445,0.000863875,0.000863875,0.000863875
13,459.814,0.46307,0.83084,0.88298,0.91747,0.93684,0.93926,0.77245,0.40748,0.57216,0.79372,0.0008515,0.0008515,0.0008515
14,522.809,0.47205,0.81745,0.88056,0.91023,0.9393,0.93508,0.7769,0.42556,0.5644,0.81889,0.000839125,0.000839125,0.000839125
15,588.531,0.46132,0.78819,0.88893,0.94378,0.9487,0.94563,0.76428,0.42687,0.50067,0.79262,0.00082675,0.00082675,0.00082675
16,643.972,0.43256,0.77451,0.86528,0.84672,0.9031,0.93857,0.78311,0.45032,0.58447,0.81735,0.000814375,0.000814375,0.000814375
17,694.247,0.4213,0.69601,0.86495,0.95349,0.93083,0.96003,0.80734,0.38321,0.44612,0.79031,0.000802,0.000802,0.000802
18,731.291,0.43099,0.69258,0.86988,0.93709,0.95209,0.96134,0.80825,0.38214,0.47537,0.78059,0.000789625,0.000789625,0.000789625
